Prj,P_Tag,Lat,Long
NHVA_BEAV_SW_ELLIOTT_TV_HIGHWAY__S00243,C1107D-1644,45.49203654,-122.8512296
NHVA_BEAV_SW_ELLIOTT_TV_HIGHWAY__S00243,C1107D-2654,45.49184476,-122.8493728
NHVA_BEAV_SW_ELLIOTT_TV_HIGHWAY__S00243,C1107D-2088,45.49225103,-122.8528476
NHVA_BEAV_SW_ELLIOTT_TV_HIGHWAY__S00243,C1107D-2954,45.49176553,-122.8485742
NHVA_BEAV_SW_ELLIOTT_TV_HIGHWAY__S00243,C1107D-17279,45.49193588,-122.8502826
NHVA_BEAV_SW_ELLIOTT_TV_HIGHWAY__S00243,C1107D-2950,45.49218198,-122.852066
NHVA_POR_BEAV_003_A__S00229,C1225A-1615,45.45837196,-122.8737305
NHVA_POR_BEAV_003_A__S00229,C1225A-3910,45.45837159,-122.8741945
NHVA_POR_BEAV_003_A__S00229,C1225A-1614,45.45835301,-122.8728051
NHVA_POR_BEAV_003_B__S00232,C1107D-2090,45.49238816,-122.8541692
NHVA_POR_BEAV_003_B__S00232,C1213A-69,45.48993823,-122.8673628
NHVA_POR_BEAV_003_B__S00232,C1107D-2089,45.49230532,-122.8531559
NHVA_POR_BEAV_003_B__S00232,C1107D-1990,45.4925674,-122.8558948
NHVA_POR_BEAV_003_B__S00232,C1107C-17216,45.49334711,-122.8634651
NHVA_POR_BEAV_003_B__S00232,C1213A-51,45.49085559,-122.8673364
NHVA_POR_BEAV_003_B__S00232,C1107C-13755,45.49314122,-122.8611832
NHVA_POR_BEAV_003_B__S00232,C1107C-3696,45.49363517,-122.8660346
NHVA_POR_BEAV_003_B__S00232,C1213A-68,45.490398,-122.8673536
NHVA_POR_BEAV_003_B__S00232,C1107C-14668,45.49239868,-122.8670508
NHVA_POR_BEAV_003_B__S00232,C1107C-2408,45.49319404,-122.8619331
NHVA_POR_BEAV_003_B__S00232,C1107C-94,45.4919524,-122.8670079
NHVA_POR_BEAV_003_B__S00232,C1107C-2941,45.49280172,-122.8581556
NHVA_POR_BEAV_003_B__S00232,C1107C-2939,45.49298226,-122.8596398
NHVA_POR_BEAV_003_B__S00232,C1107C-17821,45.49313541,-122.867053
NHVA_POR_BEAV_003_B__S00232,C1212D-130,45.49148233,-122.8673361
NHVA_POR_BEAV_003_B__S00232,C1213A-71,45.48882582,-122.8673841
NHVA_POR_BEAV_003_B__S00232,C1107C-11725,45.49356,-122.8653383
NHVA_POR_BEAV_003_B__S00232,C1107C-47,45.49299614,-122.8597573
NHVA_POR_BEAV_003_B__S00232,C1107C-2935,45.4932467,-122.8624142
NHVA_POR_BEAV_003_B__S00232,C1212D-129,45.49193867,-122.8673284
NHVA_POR_BEAV_003_B__S00232,C1107C-17822,45.49372429,-122.8670612
NHVA_POR_BEAV_003_B__S00232,C1107C-2942,45.49271967,-122.8574121
NHVA_POR_BEAV_003_B__S00232,C1107C-93,45.49312364,-122.8609467
NHVA_POR_BEAV_003_B__S00232,C1107D-2091,45.49247348,-122.8549945
NHVA_POR_BEAV_003_B__S00232,C1213A-70,45.48934337,-122.8673723
NHVA_POR_BEAV_003_B__S00232,C1107C-2940,45.4929156,-122.8589416
NHVA_POR_BEAV_003_B__S00232,C1213A-72,45.48830657,-122.8673981
NHVA_POR_BEAV_003_B__S00232,C1107C-726,45.49277222,-122.8670391
NHVA_POR_BEAV_003_B__S00232,C1107D-2088,45.49225103,-122.8528476

